,User_ID,User_Name,Tweet_Text,location,Retweet_Count,Followers,Following,Account_Likes,Listed_Count,Account_Type,Created_at,Verified,Event,Label,Label,Label,Label,FINAL 
10,1.45E+18,Inam Ul Haq," #RealPakistan 💥in #Sialkot by kiling of #SriLankan. 1/2 GRAPHICPriyantha Kumara, GM in sportswear company lynch€d &amp;…",None,78,4,7,972,0,FALSE,10/18/2021 6:06,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
11,1.01E+18,Aurangzeb, Prime Minister ImranKhan awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shield #Priy…,None,1,339,367,34213,0,FALSE,6/11/2018 19:17,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
12,1.45E+18,Inam Ul Haq, #RealPakistan 💥in #Sialkot by killing of #SriLankan. 2/2 IDIOTICMurderers of #SriLankan #priyanthakumara in #Sialkot…,None,70,4,7,972,0,FALSE,10/18/2021 6:06,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
13,532901034,Umer Inam,"Sialkot business community announces USD 100,000 donation for #PriyanthaKumara's family. Rajco Industry #Sialkot… ","Islamabad, Pakistan",1,17884,3247,51558,83,FALSE,3/22/2012 4:12,TRUE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
14,1.37E+18,Ankita (अंकिता) 🇮🇳, Twitter SpaceMy views on #Sialkot textile factory GM’s lynching in Pakistan and question to those Pakis who are defend…,"Kolkata, India",27,5456,773,36462,7,FALSE,3/2/2021 7:16,FALSE,#Sialkot,TRUE,TRUE,FAKE,FAKE,FAKE
15,1.42E+18,Ansar mehmood, Prime Minister  awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shield…,Pakistan,3,2717,3748,13013,1,FALSE,8/10/2021 6:13,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
16,2929495764,kashmiri, The origins of Pakistan's blasphemy law are based on fabricated hadiths and misquoted incidents. (thread)#BanTLP #Sialkot…,None,157,79,338,1158,0,FALSE,12/14/2014 9:53,FALSE,#Sialkot,TRUE,FAKE,FAKE,FAKE,FAKE
17,1.44E+18,aass dd," If you want to learn about Islam , Go study islam Don't Study Muslims . Islam is perfect ! Muslims are not !#JusticeFo…",None,1,3,51,110,0,FALSE,9/26/2021 23:21,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
18,209963808,Umed Mehta #a citizen 🇮🇳, The killers of a #SriLanka man in #Sialkot #Pakistan boast with pride how they burnt him alive on suspicion of #blasphemy.…,"Chennai, Tamilnadu, India",2079,2334,4972,774,151,FALSE,10/30/2010 7:39,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
19,2896778274,🍒✨," Priyantha, may you attain the supreme bliss of nibbana. My heart hurts for you and your family and everything you had to en…",None,2,64,224,14688,0,FALSE,11/11/2014 18:04,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
20,65909428,sheen,"Back home, he finally got a beautiful casket, that’s the least his family and people of his country can do for him,… ",None,0,703,906,168372,10,FALSE,8/15/2009 14:42,FALSE,#Sialkot,FAKE,FALSE,FAKE,FAKE,FAKE
21,7.22E+17,Khayyam Gillani, PM Khan awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shield #PriyanthaDiyawadana aga…,Land of peace ,3,3687,4724,21153,0,FALSE,4/19/2016 5:39,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
22,92220537,Frankanderic, Pakistani clerics hv announced to observe December 10 as Day of Condemnation to denounce the brutal murder of #PriyanthaKumar…,None,5,272,177,14131,12,FALSE,11/24/2009 7:19,FALSE,#Sialkot,FAKE,TRUE,REAL,REAL,REAL
23,3147232288,Madhulika kak 🇮🇳,"  Ab next, innocents of #Sialkot will file defamation case against the world??🙄🙄🙄Who knows ?They can even wi…",None,36,8437,643,9180,75,FALSE,4/8/2015 8:14,FALSE,#Sialkot,TRUE,FALSE,FAKE,FAKE,FAKE
24,1.32E+18,LeaksTimeDotCom,Sialkot Incident: Who is Imtiaz Billi? Whatsapp chat samny aa gai #Sialkot #SriLanka #WhatsApp ,Pakistan,0,22,3,2,1,FALSE,10/14/2020 16:53,FALSE,#Sialkot,FAKE,TRUE,FAKE,FAKE,FAKE
25,1.39E+18,StarNews Pakistan, Prime Minister  awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shield #Priyan…,None,1,550,40,102,2,FALSE,4/26/2021 18:24,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
26,403381541,نالائق, Govt decides on strategy to wipe out vigilantism (7 Dec 2021 Dawn) (9 Years Ago) Why no one should be surprised at the Tra…,Lahore,3,4191,545,7890,76,FALSE,11/2/2011 12:28,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
27,8.72E+17,Firaz Qassim 🇱🇰,Pakistani Clerics announced to Observe December 10 as Day of Condemnation to denounce the brutal murder of… ,None,0,998,4857,23850,2,FALSE,6/5/2017 13:45,FALSE,#Sialkot,FAKE,TRUE,REAL,REAL,REAL
28,1.42E+18,Chacha Abdul Shakoor, #BTC #BiggBoss15 #KaranIsTheBoss #TejRan #TejasswiIsTheBoss #VinodDua #WhuChe #Sialkot #USDT #…,None,1,611,2800,344,0,FALSE,7/15/2021 21:11,FALSE,#Sialkot,TRUE,FALSE,FAKE,FAKE,FAKE
29,1.10E+18,آنیہ, #Sialkot. Malik Adnan who tried to save the brutal lynching of the Srilankan manager in Sialkot ,None,9,130,1132,13111,0,FALSE,2/24/2019 22:09,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
30,1.33E+18,K'at දෙයියෝ 🤤🇺🇳, PM Imran's govt has vowed to act against #Violence in name of #religion but will it legislate against misuse of the #blasphe…,දිව්‍යලෝකෙ,1,334,821,21956,1,FALSE,11/27/2020 14:21,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
31,1.42E+18,Chacha Abdul Shakoor, #Pakistan ARMY #Bajwa is on the side of terrorist #TLP_دھشتگردی_بندکرو who are mushriqs barelv…,None,1,611,2800,344,0,FALSE,7/15/2021 21:11,FALSE,#Sialkot,FAKE,FALSE,FAKE,FAKE,FAKE
32,1.45E+18,Naureen68855964, Prime Minister  awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shield #…,Faisalabad,15,132,196,942,0,FALSE,10/6/2021 8:31,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
33,1.42E+18,Chacha Abdul Shakoor, My condolenceswith #PriyanthaKumara family after #Sialkot #BTC #BiggBoss15 #KaranIsTheBoss #T…,None,2,611,2800,344,0,FALSE,7/15/2021 21:11,FALSE,#Sialkot,TRUE,FALSE,REAL,REAL,REAL
34,1624512331,Vijay Dinanath Chuhan," ""Bade Bade deshon mein aaisi choti choti baatein hoti rehti hain... Senorita!!""- Pakistan's Defense Minister proudly…",None,546,264,337,25688,1,FALSE,7/27/2013 3:40,FALSE,#Sialkot,TRUE,FALSE,REAL,FAKE,FAKE
35,1.39E+18,Farooq Buzdar,#TLP trained children and young people to take lives of others just like #Sialkot incident. #SriLanka we are sorry.… ,Kuala Lumpur,0,35,72,135,0,FALSE,5/5/2021 21:45,FALSE,#Sialkot,FAKE,TRUE,FAKE,FAKE,FAKE
36,1.45E+18,Naureen68855964, Prime Minister  awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shield #Pri…,Faisalabad,13,132,196,942,0,FALSE,10/6/2021 8:31,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
37,4812188242,shafia armaghan," Dis is my #Pakistan. Da Traders of #Sialkot have announced;1- USD 100,000 compensation 2 the family of slain #SrilankanMan…",None,8,277,281,86312,1,FALSE,1/15/2016 7:53,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
38,8.03E+17,Bharat Virupaksha," ""You are Musalman. Don't let Kafirs in your homes. They will rob you of your faith""-Nusrat Fateh Ali Khan singing be…","Hyderabad, India",3010,300,427,47843,0,FALSE,11/27/2016 8:20,FALSE,#Sialkot,TRUE,TRUE,FAKE,FAKE,REAL
39,1.23E+18,SadZz,I yet wish to see someone as courageous in other such incidents across the globe #Sialkot #Faisalabad ,None,0,2495,146,3301,3,FALSE,2/18/2020 4:15,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
40,1.43E+18,Tim ☧🐈🌲🍺⚓⚡ 🇻🇦, The 'moderate' muslim response to the #SrilankanManager:If he committed blasphemy then we shouldnt have killed him the way…,America,7,95,492,10779,0,FALSE,8/15/2021 19:36,FALSE,#Sialkot,TRUE,FALSE,FAKE,FAKE,FAKE
41,1.16E+18,Samira Ahmed,Imran Khan awarded a certificate of appreciation to Malik Adnan for the courage and bravery he showed to shield Pri… ,"Paris, France",0,208,228,9244,0,FALSE,7/28/2019 14:18,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
42,9.99E+17,Public News,"To beat this extremist mindset National action plan should be strictly implemented, says Ehtasham ul HaqLink:… ",Pakistan,0,42168,314,37,88,FALSE,5/21/2018 11:16,FALSE,#Sialkot,TRUE,FALSE,REAL,REAL,REAL
43,196965482,Business Recorder,Minister for Information and Broadcasting #FawadChaudhry said on Tuesday that the federal cabinet has recommended s… ,Karachi-Pakistan,0,43053,39,486,490,FALSE,9/30/2010 10:06,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
44,9.66E+17,CPEC🇵🇰🇨🇳,Prime Minister  awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shie… ,Pakistan,0,27362,13,6693,36,FALSE,2/19/2018 18:48,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
45,576106138,Saddam,Prime Minister  awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shiel… ,"Islamabad, Pakistan",1,116,40,3849,0,FALSE,5/10/2012 9:52,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
46,1.02E+18,HellBlazer, #Gravitas | The lynching of a Sri Lankan national in #Pakistan has sparked global outrage. But Pakistani ministers are trying…,None,92,53,318,24593,0,FALSE,7/12/2018 3:08,FALSE,#Sialkot,TRUE,FAKE,FAKE,FAKE,FAKE
47,1864613910,Shoaib Raza Virk, This is what  has to say about the incident that took in place in #sialkot This is such an inch perfect explana…,Lahore Punjab Pakistan,10,725,637,70801,7,FALSE,9/14/2013 18:51,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
48,1.32E+18,LeaksTimeDotCom,"PM Imran Khan gives 'Certificate of Appreciation"" To Malik Adnan in Sialkot incident #PMImranKhan #Sialkot #SriLanka ",Pakistan,0,22,3,2,1,FALSE,10/14/2020 16:53,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
49,7.48E+17,Developing Pakistan,PM Khan awarded a certificate of appreciation to #MalikAdnan for the valour he showed to shield… ,"Islamabad, Pakistan",3,122822,261,769,192,FALSE,6/29/2016 16:54,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
50,413851049,Anonymous Sri Lanka," #MalikAdnan is a hero. But as seen on videos, the majority are radical extremists. People like Malik… ","Colombo, Sri Lanka",0,63,66,100,0,FALSE,11/16/2011 10:11,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
51,1066320313,Wake Up," Pakistan : #faislabad , after #Sialkot They began beating the four women, stripped them and dragged them through the mar…",None,1,431,1637,66254,16,FALSE,1/6/2013 18:03,FALSE,#Sialkot,FAKE,FALSE,REAL,REAL,REAL
52,1.45E+18,مولنامحمد اشفاق خان پتافی," Pakistan's top religious leaders visited Sri Lankan High Commission and have Declared 10th December as ""Day of Condemna…",None,1,191,1068,1127,0,FALSE,10/18/2021 2:41,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
53,2761574798,Nom@n,"He use to repeat such things, just few weeks back he sold shaheeds of punjab police ,and he even didn't pay visit t… ",uae,0,819,1104,76596,6,FALSE,8/24/2014 6:10,FALSE,#Sialkot,FAKE,FALSE,REAL,REAL,FAKE
54,9.99E+17,Public News,"Appreciating Malik Adnan certainly gave a positive message, says Shah Khawar Link: … ",Pakistan,0,42168,314,37,88,FALSE,5/21/2018 11:16,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
55,520541288,Nandana Senarath," The body of #PriyanthaKumara, who was killed in #Sialkot, #Pakistan, was brought to his house this morning (07).Killers had…",None,26,36,105,89,1,FALSE,3/10/2012 16:37,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
56,1.45E+18,Abdullah Gill, A delegations of the top religious leaders of #Pakistan visits Sri Lankan High Commission and have Declares Friday as…,"Punjab, Pakistan",2,756,4274,5122,1,FALSE,10/12/2021 17:09,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
57,1.41E+18,Mahrif Batool, Prime Minister Imran Khan announces to honour #MalikAdnan with Tamgha-i-Shujaat as an acknowledgement of the moral coura…,None,3,875,686,2221,1,FALSE,6/24/2021 16:36,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
58,995506412,Bhuvneshjoshi," This is not #Sialkot, this is India.This is not an exception, this is the religion.      #sialkotincident …",None,683,252,3514,12188,0,FALSE,12/7/2012 17:29,FALSE,#Sialkot,TRUE,TRUE,FAKE,FAKE,FAKE
59,1.43E+18,Babu pti Babu pti, Prime Minister Imran Khan announces to honour #MalikAdnan with Tamgha-i-Shujaat as an acknowledgement of the moral cour…,None,9,243,475,1258,0,FALSE,8/28/2021 16:15,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
60,3277491367,Dervaish Apriday, Just imagine if the #Sialkot type incident had happened in Sri Lanka. By now there would have been riots in Pakistan with p…,"Peshawar, Pakistan",17,2365,406,5231,0,FALSE,7/12/2015 12:18,FALSE,#Sialkot,TRUE,FALSE,FAKE,FAKE,FAKE
61,9.50E+17,I'm What I'm 'BHARATIYA' 🇮🇳, Pakistan Players and staff participating in #SPL (Sri Lanka Premier League) Cricket Tournament being Played at SL have ex…,IN REALITY,1137,157,434,101421,0,FALSE,1/6/2018 20:51,FALSE,#Sialkot,FAKE,TRUE,REAL,REAL,REAL
62,1136848920,Jamila Husain,Pakistani clerics hv announced to observe December 10 as Day of Condemnation to denounce the brutal murder of… ,Sri Lanka,5,18681,370,5978,70,FALSE,1/31/2013 12:28,TRUE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
63,1.47E+18,Yogi,   Mohammed would have done the same thing what the #Sialkot crowd did.,None,1,0,10,12,0,FALSE,12/2/2021 16:53,FALSE,#Sialkot,TRUE,FALSE,FAKE,FAKE,FAKE
64,1.38E+18,Dr Waqar Qureshi, Malik Adnan trying to appease the Mob so that issue could be resolved but they all were #religious extremists &amp; fanati…,Islamabad,4,256,1095,3743,1,FALSE,4/16/2021 15:26,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
65,112908631,Gautam Mukherjee,"Pakistan : #faislabad , after #Sialkot They began beating the four women, stripped them and dragged them through… ","INDIA , PLANET EARTH ",1,166,1223,3474,1,FALSE,2/10/2010 2:55,FALSE,#Sialkot,FAKE,FALSE,REAL,REAL,FAKE
66,1.39E+18,Ms_Nim_choi, Ban #TLP and arrest the killers !#JusticeforPriyanthaDiyawadana#Sialkot ,None,7,39,127,1013,0,FALSE,4/27/2021 7:21,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
67,1.28E+18,پاک کافر, thinks a mob of people killing a man and setting him on fire for throwing away a poster is the nor… ,None,0,3241,141,13022,6,FALSE,6/29/2020 10:08,FALSE,#Sialkot,TRUE,FALSE,REAL,REAL,REAL
68,1.35E+18,Humais Khan, Imran Khan says #Sialkot's Business Community has decided to donate 1M Dollars to the Family of #PriyanthaDiyawadana &amp; also…,None,1,38,667,6198,0,FALSE,1/18/2021 7:21,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
69,1.12E+18,KalhanRan,"Much Appreciated as Sialkot Businesses raise $100,000 for Priyantha Kumra &amp; will continue to send his salary to the… ",Sri Lanka,0,123,10,15862,0,FALSE,4/30/2019 15:30,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
70,1.39E+18,Ms_Nim_choi," “Whosoever kills a person ... it shall be as if he has killed all mankind""-Al Quran [5:32] #Sialkot #JusticeforPriyanthaDiya…",None,4,39,127,1013,0,FALSE,4/27/2021 7:21,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
71,1.34E+18,Arun Kumar Rai," #RealPakistan 🎆in #Sialkot by kiling of #SriLankanPriyantha Kumara, GM in sportswear company lynch€d &amp; burnt for removing #TLP…",None,407,6,11,6261,0,FALSE,12/22/2020 8:22,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
72,65909428,sheen," ""#PriyanthaKumara’s murder is a test case for the State of #Pakistan. If the culprits are duly brought to justice just a…",None,17,703,906,168372,10,FALSE,8/15/2009 14:42,FALSE,#Sialkot,TRUE,FALSE,REAL,REAL,REAL
73,98402963,yasmin pasha,This seems unreal. Can any neutral journalist confirm these “100+” arrests? And shouldn’t they be sent to Sri Lanka… ,None,0,308,398,3484,5,FALSE,12/21/2009 15:27,FALSE,#Sialkot,TRUE,FALSE,REAL,REAL,REAL
74,65909428,sheen, Diyawadana’s remains now lie at home: interment tomorrow#lka #SriLanka #Pakistan #Pakistani #PriyanthaKumara #PriyanthaD…,None,1,703,906,168372,10,FALSE,8/15/2009 14:42,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
75,1.30E+18,Amjad Khan,"The certainty of punishment, not the severity, is what deters crime. How many more Priyanthas will it take before o… ","Johannesburg, South Africa",0,52,459,55,2,FALSE,9/8/2020 13:06,FALSE,#Sialkot,TRUE,FALSE,REAL,REAL,FAKE
76,7.94E+17,Zain-ul-Abdin Bukhari,#Sialkot #Faisalabad incident ,Islamabad Pakistan,0,10,140,429,0,FALSE,11/1/2016 21:10,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
77,65909428,sheen, Renowned Islamic Scholar Javed Ghamidi sab on the black blasphemy law. Must watch video! 🙏🏿 #SayNoToBlasphemyLaw #Sialkot…,None,7,703,906,168372,10,FALSE,8/15/2009 14:42,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
78,1.40E+18,Fardeen Zia, #PriyanthaKumara #Sialkot #Islam #Muslim #SriLanka #Pakistan #shameful #sialkotincident #سیالکوٹ_سانحہ #WeAreSorryPriyanth…,None,1,3,46,26,0,FALSE,6/2/2021 22:09,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
79,8.81E+17,uyoo, Sri Lankan manager killing report submitted to PM  by police. Report says some intl companies were schedu…,پاکستان (لاہور),1000,210,2299,22748,0,FALSE,6/30/2017 0:04,FALSE,#Sialkot,FAKE,TRUE,REAL,REAL,REAL
80,1.43E+18,Tim ☧🐈🌲🍺⚓⚡ 🇻🇦," Once the prophet of mercy, had two singing slave girls, Farhana and her friend, killed because they made fun of him. T…",America,68,95,492,10779,0,FALSE,8/15/2021 19:36,FALSE,#Sialkot,TRUE,TRUE,FAKE,FAKE,FAKE
81,614203206,Stay@happy 🇮🇳, Yes those in #Sialkot were #RSS members chanting #JaiShreeRam  who #Lynched that man from #Srilanka 😌,Dreams ,3,2350,864,132297,0,FALSE,6/21/2012 8:01,FALSE,#Sialkot,TRUE,FALSE,FAKE,FAKE,FAKE
82,1879618076,Daily News,Religion should not lead to fanaticism. A good example has been received in this regard together with immense shock… ,"Lake House, Sri Lanka ",0,10189,87,1487,116,FALSE,9/18/2013 14:08,FALSE,#Sialkot,TRUE,FALSE,REAL,REAL,REAL
83,9.56E+17,External Publicity Wing," ‘Not on my watch,’ Prime Minister Imran Khan says at memorial for Sri Lankan lynched in #Sialkot over blasphemy suspicion |…","Islamabad, Pakistan",1,3501,192,258,17,FALSE,1/24/2018 11:08,TRUE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
84,1516743241,Abdullah jalib 🇵🇰,❤️ National Hero Malik Adnan❤️Prime Minister  awarded a certificate of appreciation to #MalikAdnan fo… ,"Wazirbad, Pakistan",0,737,4980,16511,1,FALSE,6/14/2013 15:14,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
85,1.30E+18,Mohsin Haider,"The world witnessed a brazen spectacle of bigoted savagery in #SialKot, which surely makes the #Taliban appear more… ","Berlin, Germany",0,57,447,63,2,FALSE,9/1/2020 13:55,FALSE,#Sialkot,TRUE,FALSE,FAKE,FAKE,FAKE
86,98402963,yasmin pasha, Remains of Diyawadanage Don Priyantha Kumar killed by a mob in #Sialkot #Pakistan transferred from #Lahore to #colombo by…,None,1,308,398,3484,5,FALSE,12/21/2009 15:27,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
87,1462377216,Azam Muhammad, The premier shared an interview of #JavedGhamidi where he is discussing the #Sialkot incident at length.#ImranKhan #The…,None,1,118,435,2989,0,FALSE,5/27/2013 15:23,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
88,275581735,طاہر شوکت,        … ,Bhola musa punjab pakistan,0,4552,4700,9376,0,FALSE,4/1/2011 15:33,FALSE,#Sialkot,TRUE,FALSE,FAKE,FAKE,FAKE
89,8.85E+17,Azadi2020," As Sri Lankans, we demand justice from Pakistan for the brutal murder of #PriyanthaKumara at #Sialkot. At the same time, n…",Srinagar,1126,139,1085,17378,0,FALSE,7/11/2017 6:43,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
90,1.11E+18,AmitTyagi," Why #NusratFatehAliKhan is cursing Kafirs in name of poetry? Why they shout ""Kafir Kafir"" while burning a disbeliever…","Ghaziabad, India",681,74,95,13460,0,FALSE,3/17/2019 10:13,FALSE,#Sialkot,FAKE,TRUE,FAKE,FAKE,FAKE
91,1.30E+18,Sana," Senior cleric  along with other govt officials manage the coffin of #SrilankanManager, #PriyanthaKumara be…",None,30,5,49,128,0,FALSE,9/5/2020 4:28,FALSE,#Sialkot,TRUE,FALSE,REAL,REAL,FAKE
92,1.27E+18,Z," As if #Sialkot wasn’t enough, we now have #Faisalabad too. Lanat on the perpetrators, their backers, the onlookers and thos…",🇦🇪🇵🇰,5,1020,555,22920,2,FALSE,5/27/2020 14:20,FALSE,#Sialkot,TRUE,FALSE,REAL,REAL,REAL
93,1.30E+18,Sana," Frustrated jobless people, no future prospects, no money, no goals in life. State offers nothing, politicians give no shit.…",None,4,5,49,128,0,FALSE,9/5/2020 4:28,FALSE,#Sialkot,TRUE,FALSE,FAKE,FAKE,FAKE
94,1257405990,Zia Ul Haq,#PriyanthaKumara #Sialkot #Islam #Muslim #SriLanka #Pakistan #shameful #sialkotincident #سیالکوٹ_سانحہ… ,"Gujranwala, Pakistan",1,73,70,167,1,FALSE,3/10/2013 16:31,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
95,278823455,← ѕαум__ 🇯🇴,Extremist mob lynching of the Sri-Lankan man was arrested while trying to escape in a burqa. #Pakistan #Sialkot ,USK - UNITED STATE OF KARACHI,0,3777,266,11074,20,FALSE,4/8/2011 1:41,FALSE,#Sialkot,TRUE,TRUE,FAKE,REAL,REAL
96,8.92E+17,Robinson Ekka رابینسن اکا," #Sialkot MOB justice, lynching, public execution, burning alive, TAKING SELFIE is not Islam.I beg to k… ",Bharat,0,80,307,5362,1,FALSE,7/31/2017 16:47,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,FAKE
97,3380127184,Jehangir Masud, We don’t have the right to be shocked at the #Sialkot ! Why? PTI Leader Mullah Tahir Ashrafi explains Ref : …,None,1,503,659,9421,1,FALSE,7/17/2015 8:58,FALSE,#Sialkot,TRUE,FALSE,REAL,REAL,REAL
98,2590328787,Kelly Buchia, Thank you Jinnajji. We misunderstood your intentions. You actually wanted to keep Bharat safe by taking away a lot of tha…,None,13,10,9,44,0,FALSE,6/7/2014 21:06,FALSE,#Sialkot,FAKE,TRUE,FAKE,FAKE,FAKE
99,1.28E+18,Vinay Surve 🇮🇳, My views continued on #Sialkot Economically a failed state is lagging behind in all fronts.And still their citizens a…,Navi Mumbai ,8,685,861,109786,0,FALSE,7/5/2020 5:23,FALSE,#Sialkot,TRUE,TRUE,FAKE,REAL,REAL
100,65909428,sheen,"So painful for his kids, wife and the whole family… they must be going through a lot, recalling the last moments of… ",None,0,703,906,168372,10,FALSE,8/15/2009 14:42,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
101,1.11E+18,Ehtesham Ul Hassan," Sialkot's business community has collected US$ 100,000 for #PriyanthaDiyawadana 's family. His family will continue to re…",None,6,163,516,1911,0,FALSE,3/12/2019 14:03,FALSE,#Sialkot,TRUE,TRUE,REAL,REAL,REAL
